"substance","marker_residue","species","MRL","target_tissue","other_provisions","therapeutic_class","MRL_value","MRL_units","target_tissue_comb"
"Bambermycin","Flavophos-pholipol A","Poultry","100  μg/kg","Skin and fat in natural proportions","Not for use in animals from which eggs are produced for human consumption","Anti-infectious agent/Antibiotics",100,"μg/kg","skin_fat"
"Bambermycin","Flavophos-pholipol A","Poultry","3 000  μg/kg","Liver","Not for use in animals from which eggs are produced for human consumption","Anti-infectious agent/Antibiotics",3000,"μg/kg","liver"
"Bambermycin","Flavophos-pholipol A","Poultry","20 000  μg/kg","Kidney","Not for use in animals from which eggs are produced for human consumption","Anti-infectious agent/Antibiotics",20000,"μg/kg","kidney"
"Baquiloprim","Baquiloprim","Bovine","10 μg/kg","Fat","NO ENTRY","Anti-infectious agents/Chemotheurapeutics",10,"μg/kg","fat"
"Baquiloprim","Baquiloprim","Bovine","300 μg/kg","Liver","NO ENTRY","Anti-infectious agents/Chemotheurapeutics",300,"μg/kg","liver"
"Baquiloprim","Baquiloprim","Bovine","150 μg/kg","Kidney","NO ENTRY","Anti-infectious agents/Chemotheurapeutics",150,"μg/kg","kidney"
"Baquiloprim","Baquiloprim","Bovine","30 μg/kg","Milk","NO ENTRY","Anti-infectious agents/Chemotheurapeutics",30,"μg/kg","milk"
"Baquiloprim","Baquiloprim","Porcine","40 μg/kg","Skin and fat","NO ENTRY","Anti-infectious agents/Chemotheurapeutics",40,"μg/kg","skin_fat"
"Baquiloprim","Baquiloprim","Porcine","50 μg/kg","Liver","NO ENTRY","Anti-infectious agents/Chemotheurapeutics",50,"μg/kg","liver"
"Baquiloprim","Baquiloprim","Porcine","50 μg/kg","Kidney","NO ENTRY","Anti-infectious agents/Chemotheurapeutics",50,"μg/kg","kidney"
"Barium selenate","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","Not for administration by injection","Alimentary tract and metabolism/mineral supplements",NA,NA,NA
"Beclomethasone dipropionate","NOT APPLICABLE","Equidae","No MRL required","NOT APPLICABLE","For inhalation use only.","NO ENTRY",NA,NA,NA
"Bellis perennis","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","For use in homeopathic veterinary medicinal products prepared according to homeopathic pharmacopoeias at concentrations corresponding to the mother tincture and dilutions thereof only.","NO ENTRY",NA,NA,NA
"Benzalkonium chloride","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","For use as an excipient at concentrations up to 0,05 % only.","NO ENTRY",NA,NA,NA
"Benzocaine","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","For use as local anaesthetic only.","NO ENTRY",NA,NA,NA
"Benzocaine","NOT APPLICABLE","Salmonidae","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Benzyl alcohol","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","For use as excipient.","NO ENTRY",NA,NA,NA
"Benzyl benzoate","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Benzyl p-hydroxybenzoate","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Benzylpenicillin","Benzylpenicillin","All food producing species","50 μg/kg","Muscle","For fin fish the muscle MRL relates to ‘muscle and skin in natural proportions’.
                           MRLs for fat, liver and kidney do not apply to fin fish.
                           For porcine and poultry species the fat MRL relates to ‘skin and fat in natural proportions’.
                           Not for use in animals from which eggs are produced for human consumption.","Anti-infectious agents/Antibiotics",50,"μg/kg","muscle"
"Benzylpenicillin","Benzylpenicillin","All food producing species","50 μg/kg","Fat","For fin fish the muscle MRL relates to ‘muscle and skin in natural proportions’.
                           MRLs for fat, liver and kidney do not apply to fin fish.
                           For porcine and poultry species the fat MRL relates to ‘skin and fat in natural proportions’.
                           Not for use in animals from which eggs are produced for human consumption.","Anti-infectious agents/Antibiotics",50,"μg/kg","fat"
"Benzylpenicillin","Benzylpenicillin","All food producing species","50 μg/kg","Liver","For fin fish the muscle MRL relates to ‘muscle and skin in natural proportions’.
                           MRLs for fat, liver and kidney do not apply to fin fish.
                           For porcine and poultry species the fat MRL relates to ‘skin and fat in natural proportions’.
                           Not for use in animals from which eggs are produced for human consumption.","Anti-infectious agents/Antibiotics",50,"μg/kg","liver"
"Benzylpenicillin","Benzylpenicillin","All food producing species","50 μg/kg","Kidney","For fin fish the muscle MRL relates to ‘muscle and skin in natural proportions’.
                           MRLs for fat, liver and kidney do not apply to fin fish.
                           For porcine and poultry species the fat MRL relates to ‘skin and fat in natural proportions’.
                           Not for use in animals from which eggs are produced for human consumption.","Anti-infectious agents/Antibiotics",50,"μg/kg","kidney"
"Benzylpenicillin","Benzylpenicillin","All food producing species","4 μg/kg","Milk","For fin fish the muscle MRL relates to ‘muscle and skin in natural proportions’.
                           MRLs for fat, liver and kidney do not apply to fin fish.
                           For porcine and poultry species the fat MRL relates to ‘skin and fat in natural proportions’.
                           Not for use in animals from which eggs are produced for human consumption.","Anti-infectious agents/Antibiotics",4,"μg/kg","milk"
"Betaine","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Betaine glucuronate","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Betamethasone","Betamethasone","Bovine, porcine","0.75 μg/kg","Muscle","NO ENTRY","Corticoides/Glucocorticoides",0.75,"μg/kg","muscle"
"Betamethasone","Betamethasone","Bovine, porcine","2.0 μg/kg","Liver","NO ENTRY","Corticoides/Glucocorticoides",2,"μg/kg","liver"
"Betamethasone","Betamethasone","Bovine, porcine","0.75 μg/kg","Kidney","NO ENTRY","Corticoides/Glucocorticoides",0.75,"μg/kg","kidney"
"Betamethasone","Betamethasone","Bovine","0.3 μg/kg","Milk","NO ENTRY","Corticoides/Glucocorticoides",0.3,"μg/kg","milk"
"Biotin","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Bismuth subcarbonate","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","For oral use only.","NO ENTRY",NA,NA,NA
"Bismuth subgallate","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","For oral use only.","NO ENTRY",NA,NA,NA
"Bismuth subnitrate","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","For oral use only.","NO ENTRY",NA,NA,NA
"Bismuth subnitrate","NOT APPLICABLE","Bovine","No MRL required","NOT APPLICABLE","For intramammary use only.","NO ENTRY",NA,NA,NA
"Bismuth subsalicylate","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","For oral use only.","NO ENTRY",NA,NA,NA
"Bituminosulfonates, ammonium and sodium salts","NOT APPLICABLE","All mammalian food producing species","No MRL required","NOT APPLICABLE","For topical use only.","NO ENTRY",NA,NA,NA
"Boldo folium","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Boric acid and borates","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Bromelain","NOT APPLICABLE","Porcine","No MRL required","NOT APPLICABLE","NO ENTRY","Antidiarrheal agents",NA,NA,NA
"Bromhexine","NOT APPLICABLE","Bovine, porcine, poultry","No MRL required","NOT APPLICABLE","Not for use in animals from which milk or eggs are produced for human consumption.","NO ENTRY",NA,NA,NA
"Bromide, potassium salt","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Bromide, sodium salt","NOT APPLICABLE","All-mammalian food-producing species","No MRL required","NOT APPLICABLE","For topical use only.","NO ENTRY",NA,NA,NA
"Bronopol","NOT APPLICABLE","Fin fish","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Brotizolam","NOT APPLICABLE","Bovine","No MRL required","NOT APPLICABLE","For therapeutic uses only.","NO ENTRY",NA,NA,NA
"Bupivacaine","NOT APPLICABLE","Porcine","No MRL required","NOT APPLICABLE","For use in piglets up to 7 days of age only.
                           For cutaneous and epilesional use only.","Local anaesthetic",NA,NA,NA
"Bupivacaine","NOT APPLICABLE","Bovine","No MRL required","NOT APPLICABLE","For use in calves up to 2 months of age only.
                           For cutaneous and epilesional use only.","Local anaesthetic",NA,NA,NA
"Buserelin","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Butafosfan","NOT APPLICABLE","All mammalian food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","Alimentary tract and metabolism/mineral supplements",NA,NA,NA
"n-Butane","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"n-Butanol","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","For use as excipient.","NO ENTRY",NA,NA,NA
"Butorphanole tartrate","NOT APPLICABLE","Equidae","No MRL required","NOT APPLICABLE","For intravenous administration only.","NO ENTRY",NA,NA,NA
"Butyl 4-hydroxybenzoate","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Butylscopolaminium bromide","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Cabergoline","Cabergoline","Bovine","0.10  μg/kg","Fat","NO ENTRY","Prolactin inhibitor",0.1,"μg/kg","fat"
"Cabergoline","Cabergoline","Bovine","0.25  μg/kg","Liver","NO ENTRY","Prolactin inhibitor",0.25,"μg/kg","liver"
"Cabergoline","Cabergoline","Bovine","0.50  μg/kg","Kidney","NO ENTRY","Prolactin inhibitor",0.5,"μg/kg","kidney"
"Cabergoline","Cabergoline","Bovine","0.15  μg/kg","Muscle","NO ENTRY","Prolactin inhibitor",0.15,"μg/kg","muscle"
"Cabergoline","Cabergoline","Bovine","0.10  μg/kg","Milk","NO ENTRY","Prolactin inhibitor",0.1,"μg/kg","milk"
"Caffeine","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Calcium acetate","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Calcium aspartate","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Calcium benzoate","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Calcium borogluconate","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Calcium carbonate","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Calcium chloride","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Calcium citrate","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Calcium glucoheptonate","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Calcium gluconate","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Calcium glucono glucoheptonate","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Calcium gluconolactate","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Calcium glutamate","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Calcium glycerophosphate","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Calcium hydroxide","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Calcium hypophosphite","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Calcium malate","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Calcium oxide","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Calcium pantothenate","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Calcium phosphate","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Calcium polyphosphates","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Calcium propionate","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Calcium silicate","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Calcium stearate","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Calcium sulphate","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Calendula officinalis","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","For use in homeopathic veterinary medicinal products prepared according to homeopathic pharmacopoeias at concentrations corresponding in the products not exceeding one part per ten only.","NO ENTRY",NA,NA,NA
